	word	proposed_splitting	count_pre	count_post
206	poetryaccount	['poetry', 'account']	1	
207	poverty		18	17.0
208	londonbloggers		1	
209	poorlyeducated	['poorly', 'educated']	1	
210	theweatherchannel	['the', 'weather', 'channel']	1	
211	offshorewind	['offshore', 'wind']	1	
212	battery		1	1.0
213	64		1	
214	co2	['co', '2']	32	50.0
215	protecttheoceans	['protect', 'the', 'oceans']	2	
216	twitter		4	3.0
217	feministsolution	['feminist', 'solution']	1	
218	timber		3	
219	wefnexus	['we', 'f', 'nexus']	1	
220	republican		3	
221	nordp2019		1	
222	colour		3	
223	avinoc	['a', 'vino', 'c']	3	
224	desmoines		1	
225	bacteria		1	
226	socialties	['social', 'ties']	1	
227	politics		4	32.0
228	worldenviromentday		1	
229	kag2018		1	
230	wednesdaythoughts		3	
231	winterisnow	['winter', 'is', 'now']	1	
232	mfd		1	
233	bears		1	2.0
234	mnwx		1	
235	bluecarbon	['blue', 'carbon']	1	2.0
236	victoria		1	3.0
237	pressure		1	
238	canceltrumpsirishgolftrip		1	
239	organiccotton	['organic', 'cotton']	4	
240	morrice2019		1	
241	innovateuk		1	
242	bees		7	1.0
243	re100	['re', '100']	5	
244	share		2	1.0
245	clp19		1	
246	balance		3	
247	vicfires		2	
248	pices		1	
249	thecrown	['the', 'crown']	1	
250	landscapearchitects	['landscape', 'architects']	1	
251	construction		3	4.0
252	letsgogreen	['lets', 'go', 'green']	1	
253	hear		1	
254	simplyscience	['simply', 'science']	1	
255	changeeducation	['change', 'education']	1	
256	simple		3	
257	nexrad		7	
258	puertoricostrong		1	
259	motherearth	['mother', 'earth']	8	1.0
260	algore		2	2.0
261	generalelectionnow	['general', 'election', 'now']	3	
262	kkrglobalimpact		1	
263	greenhouseemissions	['greenhouse', 'emissions']	1	
264	parliamentarydebate	['parliamentary', 'debate']	4	
265	seanduffy		2	
266	crime		2	
267	dougford		1	2.0
268	infographic	['info', 'graphic']	1	
269	spacetech	['space', 'tech']	1	
270	somalia		1	
271	aricahilton		2	
272	nocoal	['no', 'coal']	1	
273	eurozone		1	
274	christmasisland		1	
275	pseudoscientific		1	
276	libraries		1	
277	turacofarm		1	
278	mothernature	['mother', 'nature']	1	5.0
279	cropvolatility	['crop', 'volatility']	1	
280	monsoons		1	
281	womeninscience	['women', 'in', 'science']	1	
282	pruit	['pr', 'u', 'it']	1	
283	votethemout	['vote', 'them', 'out']	5	6.0
284	globalchallenge	['global', 'challenge']	2	
285	ventureday	['venture', 'day']	1	
286	bcprevention		1	
287	klimaatstaking		2	
288	heartlandinstitute	['heartland', 'institute']	1	
289	nansenlegacy		1	
290	wildlife		18	28.0
291	permafrost		4	
292	deutschlandtrend		1	
293	regionalassessments	['regional', 'assessments']	1	
294	socialismsucks	['socialism', 'sucks']	1	
295	whatarewedoing	['what', 'are', 'we', 'doing']	1	
296	licenses		2	
297	climatechangecyprus		1	
298	nabard		1	
299	stillwithher	['still', 'with', 'her']	1	
300	wcef2019		3	
301	nicolewilson		1	
302	参院選		1	
303	teenagers		1	
304	agitprop		1	
305	reckless		1	
306	factsfirst	['facts', 'first']	1	
307	impactinvesting	['impact', 'investing']	2	
308	disease		2	
309	womeninstemm	['women', 'in', 'stem', 'm']	2	
310	edu2018		1	
311	climatechangedenying	['climate', 'change', 'denying']	1	
312	cba13		1	
313	inclusive		1	
314	bandiesel	['ban', 'diesel']	1	
315	endcorruption	['end', 'corruption']	1	
316	ca25	['ca', '25']	1	
317	repolicyforum	['re', 'policy', 'forum']	1	
318	greenwashing	['green', 'washing']	1	
319	cityrats	['city', 'rats']	1	
320	beachread	['beach', 'read']	1	
321	climateweeknyc		3	
322	discovervanuatu		1	
323	spentnuclearfuel	['spent', 'nuclear', 'fuel']	2	
324	basaltfire	['basalt', 'fire']	1	
325	jeunescsc		1	
326	sheep		2	
327	knows		1	
328	obamaslegacy		2	
329	greenjobs	['green', 'jobs']	1	
330	breastcancer	['breast', 'cancer']	1	
331	mfe		1	
332	california		11	8.0
333	wefeedyou	['we', 'feed', 'you']	1	
334	sustainablefashion	['sustainable', 'fashion']	4	
335	climateprediction	['climate', 'prediction']	1	
336	cloudstealing	['cloud', 'stealing']	2	
337	greenzones	['green', 'zones']	1	
338	stuntmo	['stunt', 'mo']	1	
339	activismworks	['activism', 'works']	2	
340	réchauffementclimatique		1	
341	nphw19		1	
342	shutdownchase	['shutdown', 'chase']	1	
343	buildings2019	['buildings', '2019']	1	
344	mindfulness		8	
345	protectthebirds	['protect', 'the', 'birds']	1	
346	serco		1	
347	wastewater		2	2.0
348	foodchain	['food', 'chain']	1	
349	ethanol		1	
350	system		1	
351	weatherauthority	['weather', 'authority']	1	
352	ecosystem		3	5.0
353	antibioticresistance	['antibiotic', 'resistance']	4	
354	aimforzero	['aim', 'for', 'zero']	1	
355	greentech	['green', 'tech']	2	4.0
356	whatsatstake	['what', 's', 'at', 'stake']	2	
357	toryshambles		1	
358	sustinv		1	
359	wcw		1	
360	wha71		2	
361	community		3	5.0
362	stepup2018	['step', 'up', '2018']	15	
363	canpoli		2	
364	climatechangeinnigeria		1	
365	editing		1	
366	voterfraud	['voter', 'fraud']	1	
367	ryde		2	
368	seedsandchips	['seeds', 'and', 'chips']	1	2.0
369	climateeconomics	['climate', 'economics']	1	
370	saturdaymotivation		1	8.0
371	greatbarrierreef	['great', 'barrier', 'reef']	5	2.0
372	transporte	['transport', 'e']	3	
373	ecocentrism		1	
374	gridsecurity	['grid', 'security']	1	
375	waterefficiency	['water', 'efficiency']	1	
376	ocde		1	
377	wagesgrowth	['wages', 'growth']	1	
378	world		2	5.0
379	trends		1	
380	transgender		1	
381	sostenibilidad		1	
382	cclearnalumni	['cc', 'learn', 'alumni']	1	
383	mystery		1	
384	worldemojiday		1	
385	thwaitesglacier		1	
386	credlin		15	
387	maldives		1	
388	impeach45	['impeach', '45']	1	
389	facts		2	3.0
390	bluegate	['blue', 'gate']	1	
391	waterfirst	['water', 'first']	4	
392	climatedatastore	['climate', 'data', 'store']	3	
393	sustainabledevelopmentgoals	['sustainable', 'development', 'goals']	1	
394	growyourown	['grow', 'your', 'own']	2	
395	storedcarbon	['stored', 'carbon']	1	
396	solarnews	['solar', 'news']	3	
397	precipitation		1	
398	ethicalfood	['ethical', 'food']	2	
399	uaeschools		1	
400	co2emissions	['co', '2', 'emissions']	1	
401	harvey_weinstein		1	
402	majuro		1	
403	environmentalscience	['environmental', 'science']	12	
404	sfen	['s', 'fen']	1	
405	follo4follo	['fol', 'lo', '4', 'fol', 'lo']	1	
406	canlab	['can', 'lab']	1	
407	greenfinance	['green', 'finance']	3	1.0
408	futures		1	
409	free		1	
410	nata		1	
411	organic		2	4.0
412	morintoon		2	
413	blackonblack	['black', 'on', 'black']	1	
414	mapathons	['ma', 'path', 'on', 's']	1	
415	jaagomp	['j', 'a', 'ago', 'mp']	1	
416	hmclause		1	
417	thirdworld	['third', 'world']	2	
418	climatefestival	['climate', 'festival']	2	
419	ireland		6	3.0
420	us		11	11.0
421	poland		1	
422	podcast		3	2.0
423	ipcc30		2	
424	dugongs		2	
425	dkenergi	['d', 'ken', 'erg', 'i']	1	
426	riots		2	
427	americas		1	
428	macroeconomic		2	
429	tokai		2	
430	labourparty		1	
431	artistsofinstagram		2	
432	tefl		2	
433	care4climatechange30	['care', '4', 'climate', 'change', '30']	1	
434	africanpeople		1	
435	zerocarbonact	['zero', 'carbon', 'act']	1	
436	cali		1	7.0
437	wegotthis	['we', 'got', 'this']	1	
438	trainee		1	
439	donate		1	1.0
440	tlot	['t', 'lot']	2	5.0
441	invertebrates		1	
442	coconutoil	['coconut', 'oil']	1	
443	brewurbancafe	['brew', 'urban', 'cafe']	1	
444	antarctica2020		1	
445	animal		2	
446	brexitsummit		3	
447	capp2018	['cap', 'p', '2018']	2	
448	guardianlive	['guardian', 'live']	3	
449	regenerativeagriculture	['regenerative', 'agriculture']	5	4.0
450	oilindustry	['oil', 'industry']	1	
451	bom		1	1.0
452	life		2	7.0
453	disasterrisk	['disaster', 'risk']	2	
454	target		1	
455	borisjohnson		1	
456	woodburningstoves	['wood', 'burning', 'stoves']	3	
457	thefutureisnow	['the', 'future', 'is', 'now']	1	
458	energydemand	['energy', 'demand']	1	
459	bbctakingthetemperature		1	
460	nationalcrisis	['national', 'crisis']	1	
461	driveelectric	['drive', 'electric']	1	
462	factsmatter	['facts', 'matter']	4	7.0
463	policy		8	3.0
464	marinescience	['marine', 'science']	1	
465	cdnenviro		1	
466	europewide		1	
467	readytochange	['ready', 'to', 'change']	1	
468	commerciallighting	['commercial', 'lighting']	1	
469	nba2k18		1	
470	hlpf2018		4	
471	livingbuilding	['living', 'building']	1	
472	scienceisdead	['science', 'is', 'dead']	1	
473	frenchoftheday	['french', 'of', 'the', 'day']	1	
474	banassaultweapons	['ban', 'assault', 'weapons']	1	
475	jamesmurombedzi		1	
476	excessiveheat	['excessive', 'heat']	1	
477	medicalwale	['medical', 'wale']	1	
478	monsanto		1	
479	illustrator		1	
480	homogenisation		1	
481	breakfree	['break', 'free']	1	
482	pakistan		9	8.0
483	soilerosion	['soil', 'erosion']	1	1.0
484	citicbs		1	
485	eegtalks		1	
486	team_1776	['team', '1776']	1	
487	respectourworld	['respect', 'our', 'world']	1	
488	digitalise	['digitalis', 'e']	1	
489	earthobservation	['earth', 'observation']	1	2.0
490	beauty		1	
491	cyclone		1	
492	poetryoftheday	['poetry', 'of', 'the', 'day']	1	
493	fraudsters		1	
494	thrillers		1	
495	poetryaddict	['poetry', 'addict']	1	
496	savethesea	['save', 'these', 'a']	1	
497	cryptomining		1	
498	fakenews	['fake', 'news']	4	4.0
499	worldearthday	['world', 'earth', 'day']	1	
500	agenda2063	['agenda', '2063']	1	
501	savemotherearth	['save', 'mother', 'earth']	1	
502	city		3	
503	yeahright	['yeah', 'right']	1	
504	healthlyeating		1	
505	regimechange	['regime', 'change']	1	
506	teachertownhall	['teacher', 'town', 'hall']	1	
507	horticulture		2	
508	woodland		2	
509	hoaxes		1	
510	experientialscenarios	['experiential', 'scenarios']	1	
511	compassion		10	
512	estonia		1	
513	integralecology	['integral', 'ecology']	1	1.0
514	ldcf		1	
515	healthybuilding	['healthy', 'building']	1	
516	oilspill	['oil', 'spill']	2	
517	risks		2	
518	säkpol	['s', 'k', 'pol']	1	
519	banprivateprisons	['ban', 'private', 'prisons']	1	
520	cowspiracy	['cows', 'piracy']	3	
521	notmypresident	['not', 'my', 'president']	3	
522	statement		1	
523	subantarctic	['sub', 'antarctic']	1	
524	ilmastolakko		1	
525	policychange	['policy', 'change']	1	
526	stopmotionanimation	['stop', 'motion', 'animation']	1	
527	airquality	['air', 'quality']	8	4.0
528	ubc		1	
529	medicare4all	['medicare', '4', 'all']	1	
530	saveourocean	['save', 'our', 'ocean']	2	2.0
531	environmentalism		14	2.0
532	geoscience		1	
533	deardan		1	
534	adaptive		1	
535	youcan	['you', 'can']	1	
536	boycotttarsands	['boycott', 'tars', 'and', 's']	1	
537	sciencematters	['science', 'matters']	2	34.0
538	denialism	['denial', 'is', 'm']	1	
539	protecttheinlet	['protect', 'the', 'inlet']	8	
540	unitedformozambique		1	
541	electricity		7	4.0
542	kdh		1	
543	miniiceage	['mini', 'ice', 'age']	1	
544	greenfreight	['green', 'freight']	1	
545	electricbuses	['electric', 'buses']	1	
546	clouds		2	
547	geological		2	
548	adbfiji		1	
549	eprg		1	
550	insurers		1	
551	kind		7	
552	earthonlocation	['earth', 'on', 'location']	2	
553	marinebiodiversity	['marine', 'biodiversity']	1	
554	lifeunderwater	['life', 'underwater']	2	
555	gunsense	['gun', 'sense']	1	
556	housingcrisis	['housing', 'crisis']	1	
557	moviereview	['movie', 'review']	1	
558	気候変動		16	
559	sdg6		1	
560	solarsales	['solar', 'sales']	3	
561	thanos		1	
562	stemeducation	['stem', 'education']	3	
563	flowers		2	
564	climatejamboree	['climate', 'jamboree']	1	
565	caltgov	['c', 'alt', 'gov']	1	
566	psych		1	
567	votebluenomatterwho	['vote', 'blue', 'no', 'matter', 'who']	1	
568	stoptmx		1	
569	wikipedia		1	
570	globalheating	['global', 'heating']	3	
571	brexitshambles		1	
572	grenoble		1	
573	pliocene		1	
574	coastalmanagement	['coastal', 'management']	1	
575	saveplanet	['save', 'planet']	6	
576	thermohaline		1	
577	indigenous		14	2.0
578	thirstyenergy	['thirsty', 'energy']	4	
579	365drawings	['365', 'drawings']	2	
580	litres		1	
581	grid		2	
582	banksiaignite		3	
583	un4all		1	
584	owls		1	
585	researchline	['research', 'line']	2	
586	sdg11week		2	
587	biebrza		1	
588	bethechangeyouwishtoseeintheworld	['be', 'the', 'change', 'you', 'wish', 'to', 'see', 'in', 'the', 'world']	1	
589	putuporshutup	['put', 'up', 'or', 'shut', 'up']	5	
590	shpk	['sh', 'pk']	1	
591	mediterranean		2	
592	natureconservancy	['nature', 'conservancy']	1	
593	sports		1	2.0
594	plants		1	3.0
595	death		1	
596	globalnews	['global', 'news']	1	
597	carbonemissions	['carbon', 'emissions']	3	
598	climateheritage	['climate', 'heritage']	5	
599	thinkglobalactlocal	['think', 'global', 'act', 'local']	1	
600	socialhistory	['social', 'history']	1	
601	parody		1	
602	rbg		1	
603	developingprojectproposals	['developing', 'project', 'proposals']	1	
604	highest		1	
605	cutmethane	['cut', 'methane']	2	
606	zerowaste	['zero', 'waste']	4	8.0
607	sarahhuckabeesanders		1	
608	batterystorage	['battery', 'storage']	3	
609	tangprize	['tang', 'prize']	1	
610	ourfragilehome	['our', 'fragile', 'home']	2	
611	devnth		1	
612	carstrikefriday		1	
613	smartcontracts	['smart', 'contracts']	1	
614	noplastic	['no', 'plastic']	1	
615	emobility	['e', 'mobility']	1	1.0
616	kogui		1	
617	tokens		1	
618	nlp		1	
619	parisagrmt		1	
620	stormboy	['storm', 'boy']	5	
621	artivism		3	
622	distorted		2	
623	cleantech	['clean', 'tech']	9	13.0
624	survival		1	
625	fish4all	['fish', '4', 'all']	1	
626	luxleaks	['lux', 'leaks']	1	
627	coolcampuschallenge	['cool', 'campus', 'challenge']	1	
628	seedchange	['seed', 'change']	1	
629	govegan	['go', 'vegan']	16	8.0
630	coastalhazards	['coastal', 'hazards']	1	
631	cholera		1	
632	hundred		1	
633	wilderfuture	['wilder', 'future']	1	
634	drowningprevention	['drowning', 'prevention']	1	
635	olympics2018		1	
636	planetkillers	['planet', 'killers']	1	
637	ancientscripture	['ancient', 'scripture']	1	
638	billgiles		1	
639	scichat	['sci', 'chat']	1	
640	bringbackabbott		1	
641	haagensmit		1	
642	waterworld		1	
643	sadnews	['sad', 'news']	1	
644	agroecology		1	2.0
645	equatorprize	['equator', 'prize']	1	
646	avpn2019		1	
647	mps		1	
648	syrian		1	
649	farms		6	
650	gardening		1	1.0
651	privatesector	['private', 'sector']	1	
652	safeguarding		2	
653	lacis	['lac', 'is']	1	
654	shoutout	['shout', 'out']	1	
655	seabirds		1	1.0
656	secretscience	['secret', 'science']	2	
657	question		2	
658	spc		1	
659	timemachines	['time', 'machines']	1	
660	eutop10		1	
661	greenbonds	['green', 'bonds']	2	2.0
662	ncpol		1	1.0
663	abolishice	['abolish', 'ice']	2	
664	gfogj19	['g', 'fog', 'j', '19']	1	
665	lacamera	['la', 'camera']	1	
666	trumpmacron	['trump', 'macron']	1	
667	antinatalism	['anti', 'natal', 'is', 'm']	1	
668	cop25	['cop', '25']	3	
669	individuals		2	
670	phon		3	
671	europaleague		1	
672	ausvotes2019	['a', 'us', 'votes', '2019']	46	
673	mondaymood		1	
674	volcanoes		3	1.0
675	indiedev		1	
676	paristopittsburgh		1	
677	mccc18		2	
678	maahanmuutto		1	
679	shalegas	['shale', 'gas']	1	
680	engineering		5	1.0
681	race		2	
682	arkhangelsk	['ark', 'h', 'angels', 'k']	1	
683	endsealhunt	['end', 'seal', 'hunt']	1	
684	indigenousscholars	['indigenous', 'scholars']	1	
685	climatecrisis	['climate', 'crisis']	9	102.0
686	plasticpollution	['plastic', 'pollution']	20	16.0
687	buildpeace	['build', 'peace']	1	
688	getjo19		1	
689	ibpa		1	
690	minds		1	
691	earthriot	['earth', 'riot']	1	
692	sundayfunday		1	
693	maybe		1	1.0
694	gas		5	7.0
695	greenerfuture	['greener', 'future']	1	
696	windworks	['wind', 'works']	1	
697	onesimpleaction	['one', 'simple', 'action']	1	
698	youthvoicesmatter	['youth', 'voices', 'matter']	1	
699	tornadoes		1	
700	foodtrends	['food', 'trends']	1	
701	agneepath		1	
702	25may2019	['25', 'may', '2019']	1	
703	perth		5	
704	jesus		1	
705	codeblue	['code', 'blue']	1	
706	inhambane	['in', 'ham', 'bane']	1	
707	staywoke	['stay', 'woke']	1	
708	explore		2	
709	humanity		1	2.0
710	keepourparksgreen	['keep', 'our', 'parks', 'green']	1	
711	wethepeoples	['we', 'the', 'peoples']	1	
712	iceland		3	1.0
713	greencities	['green', 'cities']	14	
714	makeamericasaneagain		1	
715	tesco		1	
716	panamacanal	['panama', 'canal']	1	
717	climateiswater	['climate', 'is', 'water']	2	2.0
718	cleanwaterhere	['clean', 'water', 'here']	1	
719	asian		1	
720	sacramento		2	
721	reformparisagreement		1	
722	firstdayofschool	['first', 'day', 'of', 'school']	1	
723	coffee		5	1.0
724	greengrowth	['green', 'growth']	1	1.0
725	anilmaltesting		1	
726	risingtemperatures	['rising', 'temperatures']	2	
727	hikikomori		2	
728	insurance		4	2.0
729	burlon	['burl', 'on']	1	
730	diseases		2	4.0
731	zerocarbonproject	['zero', 'carbon', 'project']	9	
732	southdakota		1	
733	oilsands	['oils', 'and', 's']	5	
734	botany		1	
735	fidel		1	
736	aussiewine		1	
737	westernhimalayas		1	
738	whirlpool		1	
739	festivaldacancao		1	
740	extinctinrebellion	['extinct', 'in', 'rebellion']	3	
741	starvation		3	
742	krill		2	
743	romania		2	6.0
744	ourplanet	['our', 'planet']	1	122.0
745	youngleaders	['young', 'leaders']	1	
746	carbonfree	['carbon', 'free']	1	3.0
747	inclusivesocieties	['inclusive', 'societies']	1	
748	ctl		1	
749	climateactions	['climate', 'actions']	1	
750	bcsc19		1	
751	lidos	['lido', 's']	1	
752	yolo	['yo', 'lo']	1	
753	jjfhypothesis		1	
754	democratliesmatter	['democrat', 'lies', 'matter']	1	
755	fashionwaste	['fashion', 'waste']	1	
756	infrontoflondon		1	
757	pinnacleindustries	['pinnacle', 'industries']	1	
758	datacenter		1	
759	gis	['g', 'is']	1	
760	lnp		6	8.0
761	worldwaterweek	['world', 'water', 'week']	1	
762	温暖化		16	
763	democratically		1	
764	eatforum18	['eat', 'forum', '18']	2	
765	greenrojava		1	
766	artandscience	['art', 'and', 'science']	1	
767	vancouver		1	2.0
768	betterspaces	['better', 'spaces']	1	
769	dashlapland		1	
770	notime2waste	['no', 'time', '2', 'waste']	1	
771	globalstrikeforfuture	['global', 'strike', 'for', 'future']	3	
772	btc		4	
773	dv		6	
774	lockthegate	['lock', 'the', 'gate']	1	
775	academic		1	
776	nypost		4	
777	clothing		1	
778	脱原発		1	
779	betterthebest	['better', 'the', 'best']	1	
780	growth		1	
781	releasethereturns	['release', 'the', 'returns']	5	
782	marketing		1	
783	dataanalysis	['data', 'analysis']	1	
784	draconian		1	
785	climatevoter	['climate', 'voter']	1	
786	problem		1	
787	smartroofs	['smart', 'roofs']	1	
788	kids		5	2.0
789	rat		1	
790	climatejusticejobs	['climate', 'justice', 'jobs']	1	
791	nowall	['now', 'all']	1	
792	silentwarfare	['silent', 'warfare']	8	
793	1of200	['1', 'of', '200']	1	
794	finland		3	6.0
795	europeanelections2019		1	
796	capitalocene		1	
797	يوم_الجمعة		1	
798	killingourkids	['killing', 'our', 'kids']	1	
799	biogeochemistry	['bio', 'geochemistry']	1	
800	koreanodyssey		1	
801	partnerships		1	
802	flindersvotes		1	
803	lifeonland	['life', 'on', 'land']	1	
804	globalclimate	['global', 'climate']	3	
805	futureofeurope		1	
806	michaelbennet		1	
807	carbontax	['carbon', 'tax']	8	41.0
808	klimaatadaptatie		1	
809	maladaptation		1	
810	confluence19	['confluence', '19']	1	
811	15march2019	['15', 'march', '2019']	1	
812	seriously		1	
813	transformation		7	
814	kiribati		2	2.0
815	nonewcoalmines	['no', 'new', 'coal', 'mines']	1	6.0
816	pewdiepie	['pew', 'die', 'pie']	1	
817	unfao		3	
818	artic		1	
819	ada		2	
820	urbanphotography	['urban', 'photography']	1	
821	satellitedata	['satellite', 'data']	1	
822	k12	['k', '12']	3	
823	lgbtqoftwitter		1	
824	coaldecline	['coal', 'decline']	1	
825	follobackforfolloback	['fol', 'lo', 'back', 'for', 'fol', 'lo', 'back']	1	1.0
826	nfi		1	
827	m3gps		1	
828	fuel		1	
829	sixdegreesoffuelseparation	['six', 'degrees', 'of', 'fuel', 'separation']	1	
830	keystonexl		1	
831	technocracy		1	
832	warringahvotes	['warring', 'ah', 'votes']	10	
833	manel		1	
834	culturalhistory	['cultural', 'history']	1	
835	theatreattheedge		1	
836	yxe		2	
837	bousci18		1	
838	canaryislands	['canary', 'islands']	1	
839	challenge		2	
840	paytm		1	
841	justice		3	2.0
842	plant4islamabad		3	
843	initative300		1	
844	sermon		1	
845	dublin		1	
846	outreach		2	
847	energyindependence	['energy', 'independence']	2	
848	3		2	1.0
849	srhr		2	
